time,Open,High,Low,Close,tick_volume,spread,real_volume,MA,ATR
1764228000,4151.6,4153.02,4150.62,4152.96,879,18,0,4149.775,2.5400000000000285
1764228300,4153.0,4154.11,4152.24,4152.67,1357,18,0,4150.0535,2.581428571428595
1764228600,4152.17,4153.36,4150.87,4151.07,1507,18,0,4150.22,2.6328571428571195
1764228900,4151.06,4151.99,4150.13,4150.87,962,18,0,4150.407,2.6192857142857195
1764229200,4150.86,4150.97,4147.78,4147.99,1097,18,0,4150.5765,2.6150000000000415
1764229500,4147.88,4148.69,4144.62,4144.67,1415,18,0,4150.5825,2.7507142857143014
1764229800,4144.66,4147.39,4144.66,4147.27,1075,18,0,4150.5960000000005,2.7228571428572
1764230100,4147.33,4148.37,4145.31,4146.81,1179,18,0,4150.5845,2.734285714285761
1764230400,4146.81,4149.39,4146.68,4148.2,1180,18,0,4150.6135,2.6021428571428777
1764230700,4148.18,4151.59,4148.13,4151.59,1008,18,0,4150.7195,2.620714285714322
1764231000,4151.61,4154.54,4150.91,4153.1,1527,18,0,4150.77,2.711428571428574
1764231300,4153.15,4154.85,4152.16,4152.99,1129,18,0,4150.71,2.7935714285714703
1764231600,4152.97,4155.84,4152.74,4154.86,1526,18,0,4150.853499999999,2.8585714285714596
1764231900,4154.86,4156.73,4153.48,4156.66,1432,18,0,4151.031,2.893571428571509
1764232200,4156.64,4156.97,4154.57,4156.82,1460,18,0,4151.407,2.893571428571509
1764232500,4156.82,4158.02,4155.43,4156.1,1538,18,0,4151.6885,2.945000000000099
1764232800,4156.04,4156.69,4153.2,4153.68,1540,18,0,4151.749000000001,3.01642857142867
1764233100,4153.68,4156.1,4152.47,4156.03,1710,18,0,4151.9305,3.142857142857273
1764233400,4156.07,4158.99,4155.28,4158.19,1492,18,0,4152.2065,3.180000000000096
1764233700,4158.13,4159.04,4156.15,4157.23,1644,18,0,4152.487999999999,3.095714285714426
1764234000,4157.22,4158.28,4155.42,4157.05,1230,18,0,4152.6925,3.105000000000083
1764234300,4156.89,4158.39,4156.26,4157.17,1168,18,0,4152.9175000000005,3.0385714285715557
1764234600,4157.21,4160.69,4155.58,4160.67,1545,18,0,4153.3975,3.210000000000101
1764234900,4160.68,4162.24,4158.8,4159.9,1744,18,0,4153.849,3.208571428571499
1764235200,4159.79,4161.49,4159.32,4160.87,1482,18,0,4154.493,3.104285714285782
1764235500,4160.79,4161.89,4158.86,4159.15,1450,18,0,4155.217,3.1285714285715067
1764235800,4159.16,4159.21,4157.28,4157.96,1070,18,0,4155.7515,3.0450000000000728
1764236100,4157.93,4160.06,4157.92,4159.48,1167,18,0,4156.385,2.9657142857143817
1764236400,4159.46,4160.35,4157.75,4158.63,1209,18,0,4156.9065,2.980000000000083
1764236700,4158.64,4159.77,4157.5,4159.14,1189,18,0,4157.284000000001,2.957142857142961
1764237000,4159.15,4160.03,4158.17,4158.31,1125,18,0,4157.5445,2.8407142857143817
1764237300,4158.36,4160.08,4158.19,4159.84,997,18,0,4157.887000000001,2.716428571428683
1764237600,4159.9,4162.84,4159.38,4161.97,1524,18,0,4158.2425,2.6985714285715403
1764237900,4162.01,4162.91,4160.74,4161.88,1762,18,0,4158.503500000001,2.6471428571429505
1764238200,4161.87,4164.48,4161.55,4163.1,1249,18,0,4158.817499999999,2.65214285714293
1764238500,4163.08,4164.28,4161.53,4163.13,1413,18,0,4159.169,2.6964285714286365
1764238800,4163.11,4163.14,4161.62,4162.24,1267,18,0,4159.597,2.4400000000001194
1764239100,4162.23,4165.51,4162.18,4164.86,1256,18,0,4160.0385,2.432142857143
1764239400,4164.85,4165.61,4163.14,4163.88,1094,18,0,4160.322999999999,2.4535714285715193
1764239700,4163.86,4166.42,4163.67,4164.09,1114,18,0,4160.665999999999,2.4335714285714727
1764240000,4164.06,4164.42,4163.27,4163.38,948,18,0,4160.9825,2.3778571428571404
1764240300,4163.37,4167.13,4163.19,4165.99,1278,18,0,4161.4235,2.506428571428582
1764240600,4165.98,4166.34,4164.41,4166.2,1056,18,0,4161.7,2.458571428571434
1764240900,4166.23,4166.48,4165.11,4165.85,1523,18,0,4161.9975,2.3942857142856804
1764241200,4165.78,4165.96,4156.55,4159.42,1925,18,0,4161.925,2.933571428571408
1764241500,4159.41,4159.51,4157.01,4158.05,1419,18,0,4161.87,2.977142857142813
1764241800,4158.03,4158.58,4154.2,4154.93,1269,18,0,4161.7185,3.042857142857104
1764242100,4154.92,4156.92,4148.66,4150.31,2124,18,0,4161.26,3.4778571428571143
1764242400,4150.21,4152.51,4148.06,4151.28,1936,18,0,4160.8925,3.586428571428574
1764242700,4151.3,4155.81,4149.85,4154.55,1498,18,0,4160.663,3.8157142857142907
1764243000,4154.55,4155.01,4152.88,4153.91,1316,18,0,4160.443,3.8592857142856962
1764243300,4153.9,4155.16,4153.21,4154.62,1276,18,0,4160.182,3.76071428571426
1764243600,4154.61,4157.58,4154.02,4157.18,1221,18,0,4159.9425,3.838571428571413
1764243900,4157.19,4157.86,4155.42,4156.3,1121,18,0,4159.6635,3.8164285714285273
1764244200,4156.31,4159.67,4155.67,4158.82,1156,18,0,4159.449500000001,4.019999999999982
1764244500,4158.89,4160.5,4157.09,4158.5,1242,18,0,4159.218,3.9821428571427924
1764244800,4158.49,4159.73,4155.73,4157.64,1627,18,0,4158.987999999999,4.129999999999915
1764245100,4157.62,4160.32,4157.5,4157.54,1310,18,0,4158.621999999999,4.23357142857133
1764245400,4157.57,4157.89,4155.46,4156.0,1194,18,0,4158.228,3.7349999999999324
1764245700,4155.99,4156.71,4155.83,4156.27,1135,18,0,4157.837,3.6192857142856547
1764246000,4156.28,4156.4,4154.64,4155.3,1192,18,0,4157.433,3.43214285714274
